year,geo,avg_weekly_wage,median_weekly_wage
2023,Newfoundland and Labrador,1221.7,1050.0
2023,Nova Scotia,1071.13,950.0
2023,Ontario,1279.16,1120.0
2023,Prince Edward Island,1044.18,960.0
2023,Quebec,1152.27,1038.45
2023,Saskatchewan,1178.72,1040.0
2024,Alberta,1377.29,1192.5
2024,British Columbia,1336.98,1172.5
2024,Canada,1290.3,1126.65
2024,Manitoba,1112.32,980.63
2024,New Brunswick,1128.91,1000.0
2024,Newfoundland and Labrador,1273.83,1087.5
2024,Nova Scotia,1139.62,1000.0
2024,Ontario,1339.01,1154.0
2024,Prince Edward Island,1110.08,1000.0
2024,Quebec,1205.41,1080.0
2024,Saskatchewan,1216.29,1080.0
2025,Alberta,1407.16,1215.2
2025,British Columbia,1378.69,1200.0
2025,Canada,1329.77,1160.0
2025,Manitoba,1155.71,1009.75
2025,New Brunswick,1167.31,1040.0
2025,Newfoundland and Labrador,1295.09,1120.0
2025,Nova Scotia,1198.05,1057.88
2025,Ontario,1381.64,1200.0
2025,Prince Edward Island,1128.34,1038.4
2025,Quebec,1242.71,1124.9
2025,Saskatchewan,1246.05,1100.0
