geography,year,area_burned_ha
Ontario,2012,152810.401496
Ontario,2013,51088.499854
Ontario,2014,6145.500001
Ontario,2015,42721.600097
Ontario,2016,86208.70011
Ontario,2017,112783.099898
Ontario,2018,265690.396802
Ontario,2019,269725.79956
Ontario,2020,15497.20008
Ontario,2021,784562.398963
Ontario,2022,2625.299952
Ontario,2023,441604.3
Ontario,2024,90593.4
Ontario,2025,600928.89742
Prince Edward Island,2018,7.39
Prince Edward Island,2019,14.21
Prince Edward Island,2020,11.13
Prince Edward Island,2021,0.4
Prince Edward Island,2022,0.52
Prince Edward Island,2023,7.94
Prince Edward Island,2024,18.291161
Prince Edward Island,2025,13.48
Quebec,1959,34629.01
Quebec,1960,39932.06
Quebec,1961,22208.1
Quebec,1962,194634.49
Quebec,1963,28960.0
Quebec,1964,89481.64
Quebec,1965,6205.42
Quebec,1966,7076.9
Quebec,1967,97491.7
Quebec,1968,499919.68
Quebec,1969,1197.0
Quebec,1970,23333.23
Quebec,1971,235896.6
Quebec,1972,104280.4
Quebec,1973,88711.2
Quebec,1974,101508.7
Quebec,1975,43538.8
Quebec,1976,496464.2
Quebec,1977,32113.6
Quebec,1978,6470.1
Quebec,1979,5171.9
Quebec,1980,31582.0
Quebec,1981,192008.9
Quebec,1982,39107.5
Quebec,1983,1037538.0
Quebec,1984,3799.4
Quebec,1985,86446.6
Quebec,1986,197225.9
Quebec,1987,36834.2
Quebec,1988,275721.7
Quebec,1989,2109512.5
Quebec,1990,83342.6
Quebec,1991,438331.4
Quebec,1992,27111.5
Quebec,1993,128234.0
Quebec,1994,116040.3
Quebec,1995,727726.7
Quebec,1996,691589.6
Quebec,1997,393079.2
Quebec,1998,418306.8
Quebec,1999,97747.2
Quebec,2000,39208.3
Quebec,2001,33068.2
Quebec,2002,1013749.6
Quebec,2003,87860.3
Quebec,2004,3044.2
Quebec,2005,800130.3
Quebec,2006,136351.1
Quebec,2007,342682.1
Quebec,2008,1481.6
Quebec,2009,93971.7
Quebec,2010,314883.8
Quebec,2011,12397.5
Quebec,2012,64043.1
Quebec,2013,1872842.2
Quebec,2014,63720.7
Quebec,2015,5379.6
Quebec,2016,33370.8
Quebec,2017,38391.9
Quebec,2018,86260.7
Quebec,2019,9604.0
Quebec,2020,59986.1
Quebec,2021,49483.1
Quebec,2022,29638.1
Quebec,2023,4288263.62585
Quebec,2024,265199.8
Quebec,2025,8295.2
Saskatchewan,1959,11530.19
Saskatchewan,1960,200238.67
Saskatchewan,1961,11026.22
Saskatchewan,1962,2072.83
Saskatchewan,1963,55719.0
Saskatchewan,1964,423111.56
Saskatchewan,1965,2130.27
Saskatchewan,1966,12077.82
Saskatchewan,1967,47150.76
Saskatchewan,1968,19526.12
Saskatchewan,1969,60007.6
Saskatchewan,1970,826915.11
Saskatchewan,1971,84295.4
Saskatchewan,1972,158430.0
Saskatchewan,1973,489032.0
Saskatchewan,1974,17668.0
Saskatchewan,1975,122567.0
Saskatchewan,1976,79515.7
Saskatchewan,1977,129054.2
Saskatchewan,1978,92783.3
Saskatchewan,1979,226922.6
Saskatchewan,1980,1338376.0
Saskatchewan,1981,2413778.60345
Saskatchewan,1982,83017.8722
Saskatchewan,1983,61025.4171
Saskatchewan,1984,325896.36628
Saskatchewan,1985,92192.90615
Saskatchewan,1986,11436.723
Saskatchewan,1987,220088.675
Saskatchewan,1988,81470.0069528
Saskatchewan,1989,479904.307833
Saskatchewan,1990,216055.678238
Saskatchewan,1991,198175.11
Saskatchewan,1992,97756.39
Saskatchewan,1993,608199.84
Saskatchewan,1994,846019.45
Saskatchewan,1995,1648433.89
Saskatchewan,1996,12986.99
Saskatchewan,1997,3876.91
Saskatchewan,1998,1038696.22
Saskatchewan,1999,180820.24
