city,season,year,temp,temp_max
Calgary,Summer,1926,14.6,21.7
Calgary,Summer,1927,14.3,20.4
Calgary,Summer,1928,14.2,20.4
Calgary,Summer,1929,16.0,23.9
Calgary,Summer,1930,15.4,22.6
Calgary,Summer,1931,15.6,22.7
Calgary,Summer,1932,15.4,21.7
Calgary,Summer,1933,16.1,23.8
Calgary,Summer,1934,14.9,21.9
Calgary,Summer,1935,14.3,20.7
Calgary,Summer,1936,16.8,24.3
Calgary,Summer,1937,15.1,21.8
Calgary,Summer,1938,15.3,22.1
Calgary,Summer,1939,14.4,21.6
Calgary,Summer,1940,15.5,23.0
Calgary,Summer,1941,16.5,23.4
Calgary,Summer,1942,14.6,20.7
Calgary,Summer,1943,14.7,21.6
Calgary,Summer,1944,14.4,20.8
Calgary,Summer,1945,15.0,21.6
Calgary,Summer,1946,14.8,21.6
Calgary,Summer,1947,14.8,21.4
Calgary,Summer,1948,15.6,22.4
Calgary,Summer,1949,15.4,22.8
Calgary,Summer,1950,14.3,21.1
Calgary,Summer,1951,13.1,18.6
Calgary,Summer,1952,14.1,20.1
Calgary,Summer,1953,14.6,20.4
Calgary,Summer,1954,13.8,19.7
Calgary,Summer,1955,15.3,22.4
Calgary,Summer,1956,15.2,21.5
Calgary,Summer,1957,14.3,20.7
Calgary,Summer,1958,15.6,22.0
Calgary,Summer,1959,14.8,21.2
Calgary,Summer,1960,15.8,22.6
Calgary,Summer,1961,17.7,25.2
Calgary,Summer,1962,15.3,22.2
Calgary,Summer,1963,16.1,22.7
Calgary,Summer,1964,15.6,22.4
Calgary,Summer,1965,15.5,21.6
Calgary,Summer,1966,13.9,20.1
Calgary,Summer,1967,15.6,23.2
Calgary,Summer,1968,14.0,20.4
Calgary,Summer,1969,14.7,21.9
Calgary,Summer,1970,17.1,24.4
Calgary,Summer,1971,16.5,23.6
Calgary,Summer,1972,15.4,22.0
Calgary,Summer,1973,15.3,22.2
Calgary,Summer,1974,15.2,22.2
Calgary,Summer,1975,15.0,21.5
Calgary,Summer,1976,14.9,21.3
Calgary,Summer,1977,14.6,21.1
