city,year,month,temp
Alert,2020,2,-32.0
Alert,2020,3,-29.5
Alert,2020,4,-17.8
Alert,2020,5,-9.5
Alert,2020,6,1.6
Alert,2020,7,4.3
Alert,2020,8,1.1
Alert,2020,9,-6.8
Alert,2020,10,-16.1
Alert,2020,11,-23.2
Alert,2020,12,-30.3
Calgary,1885,1,-12.4
Calgary,1885,2,-7.7
Calgary,1885,3,3.6
Calgary,1885,4,4.2
Calgary,1885,5,9.0
Calgary,1885,6,13.1
Calgary,1885,7,13.6
Calgary,1885,8,13.6
Calgary,1885,9,9.9
Calgary,1885,10,5.4
Calgary,1885,11,0.9
Calgary,1885,12,-3.4
Calgary,1886,1,-18.3
Calgary,1886,2,-2.8
Calgary,1886,3,-2.2
Calgary,1886,4,5.1
Calgary,1886,5,9.4
Calgary,1886,6,13.9
Calgary,1886,7,17.6
Calgary,1886,8,14.7
Calgary,1886,9,9.4
Calgary,1886,10,4.7
Calgary,1886,11,-2.7
Calgary,1886,12,-9.8
Calgary,1887,1,-15.5
Calgary,1887,2,-19.6
Calgary,1887,3,-3.3
Calgary,1887,4,4.1
Calgary,1887,5,9.7
Calgary,1887,6,11.5
Calgary,1887,7,15.1
Calgary,1887,8,13.6
Calgary,1887,9,10.0
Calgary,1887,10,4.5
Calgary,1887,11,-3.0
Calgary,1887,12,-12.5
Calgary,1888,1,-18.0
Calgary,1888,2,-6.1
Calgary,1888,3,-8.8
Calgary,1888,4,2.2
Calgary,1888,5,8.8
Calgary,1888,6,12.1
Calgary,1888,7,15.4
Calgary,1888,8,15.4
Calgary,1888,9,13.3
Calgary,1888,10,5.0
Calgary,1888,11,-4.0
Calgary,1888,12,-4.6
Calgary,1889,1,-7.0
Calgary,1889,2,-6.3
Calgary,1889,3,1.7
Calgary,1889,4,7.2
Calgary,1889,5,9.4
Calgary,1889,6,13.7
Calgary,1889,7,15.3
Calgary,1889,8,15.3
Calgary,1889,9,9.2
Calgary,1889,10,6.7
Calgary,1889,11,-1.3
Calgary,1889,12,-8.4
Calgary,1890,1,-19.2
Calgary,1890,2,-15.7
Calgary,1890,3,-5.3
Calgary,1890,4,2.6
Calgary,1890,5,9.4
Calgary,1890,6,13.6
Calgary,1890,7,16.2
Calgary,1890,8,15.6
Calgary,1890,9,10.5
Calgary,1890,10,4.7
Calgary,1890,11,4.0
Calgary,1890,12,-3.7
Calgary,1891,1,-2.8
Calgary,1891,2,-17.0
Calgary,1891,3,-4.2
Calgary,1891,4,6.8
Calgary,1891,5,10.3
Calgary,1891,6,12.7
Calgary,1891,7,16.4
Calgary,1891,8,15.4
Calgary,1891,9,10.9
Calgary,1891,10,6.0
Calgary,1891,11,-3.9
Calgary,1891,12,-6.0
Calgary,1892,1,-8.3
Calgary,1892,2,-7.1
Calgary,1892,3,-0.1
Calgary,1892,4,2.4
Calgary,1892,5,7.3
Calgary,1892,6,13.5
Calgary,1892,7,16.0
Calgary,1892,8,15.6
Calgary,1892,9,11.5
Calgary,1892,10,5.9
Calgary,1892,11,-6.0
Calgary,1892,12,-10.3
Calgary,1893,1,-9.3
Calgary,1893,2,-15.0
Calgary,1893,3,-6.5
Calgary,1893,4,1.1
Calgary,1893,5,10.0
Calgary,1893,7,15.4
Calgary,1893,8,16.3
Calgary,1893,9,9.5
Calgary,1893,10,2.6
Calgary,1893,11,-6.8
Calgary,1893,12,-7.1
Calgary,1894,1,-12.6
Calgary,1894,2,-8.9
Calgary,1894,3,-3.4
Calgary,1894,4,5.6
Calgary,1894,5,9.9
Calgary,1894,6,13.6
Calgary,1894,7,17.6
Calgary,1894,8,17.6
Calgary,1894,9,9.0
Calgary,1894,10,5.1
Calgary,1894,11,-2.8
Calgary,1894,12,-6.3
Calgary,1895,1,-15.3
Calgary,1895,2,-10.1
Calgary,1895,3,-2.7
Calgary,1895,4,6.3
Calgary,1895,5,9.6
Calgary,1895,6,12.2
Calgary,1895,7,15.0
Calgary,1895,8,13.8
Calgary,1895,9,7.0
Calgary,1895,10,7.2
Calgary,1895,11,-2.6
Calgary,1895,12,-6.9
Calgary,1896,1,-15.5
Calgary,1896,2,-4.3
Calgary,1896,3,-7.0
Calgary,1896,4,2.3
Calgary,1896,5,7.4
Calgary,1896,6,14.5
Calgary,1896,7,17.9
Calgary,1896,8,15.0
Calgary,1896,9,9.3
Calgary,1896,10,5.0
Calgary,1896,11,-16.1
Calgary,1896,12,-3.4
Calgary,1897,1,-10.7
Calgary,1897,2,-8.9
Calgary,1897,3,-11.3
Calgary,1897,4,6.3
Calgary,1897,5,14.2
Calgary,1897,6,13.6
Calgary,1897,7,14.8
Calgary,1897,8,16.8
Calgary,1897,9,11.0
Calgary,1897,10,5.5
Calgary,1897,11,-10.7
Calgary,1897,12,-7.7
Calgary,1898,1,-6.3
Calgary,1898,2,-9.7
Calgary,1898,3,-8.3
Calgary,1898,4,3.3
