country_code,country_name,year,subject,score,se,caution
OECD23,OECD average (23 countries with data since 2000),2009,Reading,499.4,0.569,False
OECD23,OECD average (23 countries with data since 2000),2012,Reading,501.36,0.575,False
OECD23,OECD average (23 countries with data since 2000),2015,Reading,497.25,0.569,False
OECD23,OECD average (23 countries with data since 2000),2018,Reading,492.84,0.514,False
OECD23,OECD average (23 countries with data since 2000),2022,Reading,481.93,0.552,False
OECD23,OECD average (23 countries with data since 2000),2025,Reading,465.83,0.563,False
OECD35,OECD average (35 countries),2012,Reading,493.51,0.506,False
OECD35,OECD average (35 countries),2015,Reading,490.27,0.472,False
OECD35,OECD average (35 countries),2018,Reading,487.62,0.425,False
OECD35,OECD average (35 countries),2022,Reading,477.35,0.47,False
OECD35,OECD average (35 countries),2025,Reading,463.01,0.474,False
SWE,Sweden,2000,Reading,516.33,2.204,False
SWE,Sweden,2003,Reading,514.27,2.421,False
SWE,Sweden,2006,Reading,507.31,3.436,False
SWE,Sweden,2009,Reading,497.45,2.88,False
SWE,Sweden,2012,Reading,483.34,3.003,False
SWE,Sweden,2015,Reading,500.16,3.483,False
SWE,Sweden,2018,Reading,505.79,3.025,False
SWE,Sweden,2022,Reading,486.98,2.49,False
SWE,Sweden,2025,Reading,466.44,3.15,False
USA,United States,2000,Reading,504.42,7.045,True
USA,United States,2003,Reading,495.19,3.222,True
USA,United States,2009,Reading,499.83,3.654,True
USA,United States,2012,Reading,497.58,3.744,True
USA,United States,2015,Reading,496.94,3.407,True
USA,United States,2018,Reading,505.35,3.569,True
USA,United States,2022,Reading,503.94,4.326,True
USA,United States,2025,Reading,489.52,5.837,True
AUS,Australia,2006,Science,526.88,2.26,False
AUS,Australia,2009,Science,527.27,2.531,False
AUS,Australia,2012,Science,521.49,1.758,False
AUS,Australia,2015,Science,509.99,1.535,False
AUS,Australia,2018,Science,502.96,1.795,False
AUS,Australia,2022,Science,507.0,1.933,False
AUS,Australia,2025,Science,509.11,1.885,False
CAN,Canada,2006,Science,534.47,2.032,True
CAN,Canada,2009,Science,528.7,1.621,True
CAN,Canada,2012,Science,525.44,1.93,True
CAN,Canada,2015,Science,527.7,2.08,True
CAN,Canada,2018,Science,518.0,2.154,True
CAN,Canada,2022,Science,515.02,1.929,True
CAN,Canada,2025,Science,510.05,1.789,True
CHE,Switzerland,2006,Science,511.52,3.162,False
CHE,Switzerland,2009,Science,516.57,2.817,False
CHE,Switzerland,2012,Science,515.3,2.714,False
CHE,Switzerland,2015,Science,505.51,2.9,False
CHE,Switzerland,2018,Science,495.28,3.005,False
CHE,Switzerland,2022,Science,502.52,2.186,False
CHE,Switzerland,2025,Science,501.24,2.591,False
DEU,Germany,2006,Science,515.65,3.796,False
DEU,Germany,2009,Science,520.41,2.799,False
DEU,Germany,2012,Science,524.12,2.963,False
DEU,Germany,2015,Science,509.14,2.699,False
DEU,Germany,2018,Science,502.99,2.912,False
DEU,Germany,2022,Science,492.43,3.483,False
DEU,Germany,2025,Science,485.52,3.521,False
DNK,Denmark,2006,Science,495.89,3.109,False
DNK,Denmark,2009,Science,499.34,2.482,False
DNK,Denmark,2012,Science,498.47,2.742,False
DNK,Denmark,2015,Science,501.94,2.375,False
DNK,Denmark,2018,Science,492.64,1.938,False
DNK,Denmark,2022,Science,493.82,2.498,False
DNK,Denmark,2025,Science,477.54,2.39,False
FIN,Finland,2006,Science,563.32,2.018,False
FIN,Finland,2009,Science,554.08,2.336,False
FIN,Finland,2012,Science,545.44,2.199,False
FIN,Finland,2015,Science,530.66,2.392,False
FIN,Finland,2018,Science,521.88,2.51,False
FIN,Finland,2022,Science,510.96,2.501,False
FIN,Finland,2025,Science,504.37,2.261,False
FRA,France,2006,Science,495.22,3.36,False
FRA,France,2009,Science,498.23,3.601,False
FRA,France,2012,Science,498.97,2.579,False
FRA,France,2015,Science,494.98,2.061,False
FRA,France,2018,Science,492.98,2.224,False
FRA,France,2022,Science,487.23,2.73,False
FRA,France,2025,Science,483.42,3.206,False
GBR,United Kingdom,2006,Science,514.77,2.289,False
GBR,United Kingdom,2009,Science,513.71,2.518,False
GBR,United Kingdom,2012,Science,514.13,3.382,False
GBR,United Kingdom,2015,Science,509.22,2.564,False
GBR,United Kingdom,2018,Science,504.67,2.564,False
GBR,United Kingdom,2022,Science,499.67,2.376,False
GBR,United Kingdom,2025,Science,511.36,2.102,False
ISR,Israel,2006,Science,453.9,3.707,False
ISR,Israel,2009,Science,454.85,3.112,False
ISR,Israel,2012,Science,470.07,4.958,False
ISR,Israel,2015,Science,466.55,3.438,False
ISR,Israel,2018,Science,462.2,3.618,False
ISR,Israel,2022,Science,464.75,3.385,False
ISR,Israel,2025,Science,442.01,3.351,False
ITA,Italy,2006,Science,475.4,2.019,False
ITA,Italy,2009,Science,488.83,1.773,False
ITA,Italy,2012,Science,493.54,1.936,False
ITA,Italy,2015,Science,480.55,2.516,False
ITA,Italy,2018,Science,468.01,2.43,False
ITA,Italy,2022,Science,477.46,3.178,False
ITA,Italy,2025,Science,482.98,2.479,False
JPN,Japan,2006,Science,531.39,3.374,False
JPN,Japan,2009,Science,539.43,3.413,False
JPN,Japan,2012,Science,546.74,3.605,False
JPN,Japan,2015,Science,538.39,2.966,False
JPN,Japan,2018,Science,529.14,2.593,False
JPN,Japan,2022,Science,546.63,2.804,False
JPN,Japan,2025,Science,537.59,3.806,False
KOR,South Korea,2006,Science,522.15,3.358,False
KOR,South Korea,2009,Science,537.99,3.439,False
KOR,South Korea,2012,Science,537.79,3.658,False
KOR,South Korea,2015,Science,515.81,3.132,False
KOR,South Korea,2018,Science,519.01,2.803,False
KOR,South Korea,2022,Science,527.82,3.58,False
KOR,South Korea,2025,Science,526.11,3.37,False
NLD,Netherlands,2006,Science,524.86,2.742,True
NLD,Netherlands,2009,Science,522.22,5.419,True
NLD,Netherlands,2012,Science,522.06,3.508,True
NLD,Netherlands,2015,Science,508.57,2.257,True
NLD,Netherlands,2018,Science,503.38,2.841,True
NLD,Netherlands,2022,Science,488.32,4.073,True
NLD,Netherlands,2025,Science,485.45,2.821,True
NOR,Norway,2006,Science,486.53,3.111,True
NOR,Norway,2009,Science,499.88,2.6,True
NOR,Norway,2012,Science,494.52,3.087,True
NOR,Norway,2015,Science,498.48,2.262,True
NOR,Norway,2018,Science,490.41,2.283,True
NOR,Norway,2022,Science,478.23,2.373,True
NOR,Norway,2025,Science,470.21,2.022,True
NZL,New Zealand,2006,Science,530.38,2.693,True
NZL,New Zealand,2009,Science,532.01,2.579,True
NZL,New Zealand,2012,Science,515.64,2.144,True
NZL,New Zealand,2015,Science,513.3,2.384,True
NZL,New Zealand,2018,Science,508.49,2.105,True
NZL,New Zealand,2022,Science,504.13,2.242,True
NZL,New Zealand,2025,Science,509.4,2.311,True
OECD,OECD average,2012,Science,496.44,0.465,False
OECD,OECD average,2015,Science,488.76,0.409,False
OECD,OECD average,2025,Science,481.91,0.438,False
OECD23,OECD average (23 countries with data since 2000),2006,Science,502.74,0.595,False
OECD23,OECD average (23 countries with data since 2000),2009,Science,505.74,0.58,False
OECD23,OECD average (23 countries with data since 2000),2012,Science,504.73,0.568,False
OECD23,OECD average (23 countries with data since 2000),2015,Science,496.98,0.525,False
OECD23,OECD average (23 countries with data since 2000),2018,Science,493.46,0.513,False
OECD23,OECD average (23 countries with data since 2000),2022,Science,490.86,0.533,False
OECD23,OECD average (23 countries with data since 2000),2025,Science,485.94,0.554,False
OECD35,OECD average (35 countries),2006,Science,495.23,0.506,False
OECD35,OECD average (35 countries),2012,Science,498.51,0.493,False
OECD35,OECD average (35 countries),2015,Science,490.79,0.435,False
OECD35,OECD average (35 countries),2018,Science,489.16,0.422,False
OECD35,OECD average (35 countries),2022,Science,486.75,0.453,False
OECD35,OECD average (35 countries),2025,Science,483.93,0.466,False
SWE,Sweden,2006,Science,503.33,2.375,False
SWE,Sweden,2009,Science,495.11,2.721,False
SWE,Sweden,2012,Science,484.8,3.002,False
SWE,Sweden,2015,Science,493.42,3.601,False
SWE,Sweden,2018,Science,499.44,3.07,False
SWE,Sweden,2022,Science,493.55,2.35,False
SWE,Sweden,2025,Science,485.11,2.994,False
USA,United States,2006,Science,488.91,4.224,True
USA,United States,2009,Science,502.0,3.644,True
USA,United States,2012,Science,497.41,3.776,True
USA,United States,2015,Science,496.24,3.181,True
USA,United States,2018,Science,502.38,3.318,True
USA,United States,2022,Science,499.41,4.319,True
USA,United States,2025,Science,501.58,5.817,True
