year,geo,age_group,gender,level,pct
2001,Quebec,55–64,Men,Trades and other non-tertiary,14.0
2002,Quebec,55–64,Men,Trades and other non-tertiary,16.0
2003,Quebec,55–64,Men,Trades and other non-tertiary,17.0
2004,Quebec,55–64,Men,Trades and other non-tertiary,16.0
2005,Quebec,55–64,Men,Trades and other non-tertiary,17.0
2006,Quebec,55–64,Men,Trades and other non-tertiary,18.0
2007,Quebec,55–64,Men,Trades and other non-tertiary,19.0
2008,Quebec,55–64,Men,Trades and other non-tertiary,19.0
2009,Quebec,55–64,Men,Trades and other non-tertiary,18.0
2010,Quebec,55–64,Men,Trades and other non-tertiary,17.0
2011,Quebec,55–64,Men,Trades and other non-tertiary,18.0
2012,Quebec,55–64,Men,Trades and other non-tertiary,19.0
2013,Quebec,55–64,Men,Trades and other non-tertiary,17.0
2014,Quebec,55–64,Men,Trades and other non-tertiary,18.0
2015,Quebec,55–64,Men,Trades and other non-tertiary,17.0
2016,Quebec,55–64,Men,Trades and other non-tertiary,18.0
2017,Quebec,55–64,Men,Trades and other non-tertiary,18.0
2018,Quebec,55–64,Men,Trades and other non-tertiary,17.0
2019,Quebec,55–64,Men,Trades and other non-tertiary,19.0
2020,Quebec,55–64,Men,Trades and other non-tertiary,18.0
2021,Quebec,55–64,Men,Trades and other non-tertiary,19.0
2022,Quebec,55–64,Men,Trades and other non-tertiary,19.0
2023,Quebec,55–64,Men,Trades and other non-tertiary,19.0
2024,Quebec,55–64,Men,Trades and other non-tertiary,18.0
2025,Quebec,55–64,Men,Trades and other non-tertiary,19.0
2000,Quebec,55–64,Total,Bachelor's,8.0
2001,Quebec,55–64,Total,Bachelor's,9.0
2002,Quebec,55–64,Total,Bachelor's,9.0
2003,Quebec,55–64,Total,Bachelor's,10.0
2004,Quebec,55–64,Total,Bachelor's,10.0
2005,Quebec,55–64,Total,Bachelor's,11.0
2006,Quebec,55–64,Total,Bachelor's,11.0
2007,Quebec,55–64,Total,Bachelor's,12.0
2008,Quebec,55–64,Total,Bachelor's,12.0
2009,Quebec,55–64,Total,Bachelor's,12.0
2010,Quebec,55–64,Total,Bachelor's,11.0
2011,Quebec,55–64,Total,Bachelor's,12.0
2012,Quebec,55–64,Total,Bachelor's,13.0
2013,Quebec,55–64,Total,Bachelor's,12.0
2014,Quebec,55–64,Total,Bachelor's,12.0
2015,Quebec,55–64,Total,Bachelor's,13.0
2016,Quebec,55–64,Total,Bachelor's,12.0
2017,Quebec,55–64,Total,Bachelor's,13.0
2018,Quebec,55–64,Total,Bachelor's,14.0
2019,Quebec,55–64,Total,Bachelor's,14.0
2020,Quebec,55–64,Total,Bachelor's,15.0
2021,Quebec,55–64,Total,Bachelor's,14.0
2022,Quebec,55–64,Total,Bachelor's,16.0
2023,Quebec,55–64,Total,Bachelor's,15.0
2024,Quebec,55–64,Total,Bachelor's,17.0
2025,Quebec,55–64,Total,Bachelor's,16.0
2000,Quebec,55–64,Total,Below high school,47.0
2001,Quebec,55–64,Total,Below high school,43.0
2002,Quebec,55–64,Total,Below high school,41.0
2003,Quebec,55–64,Total,Below high school,38.0
2004,Quebec,55–64,Total,Below high school,36.0
2005,Quebec,55–64,Total,Below high school,32.0
2006,Quebec,55–64,Total,Below high school,31.0
