geo,geo_code,year,subject,score,se,caution,source
Newfoundland and Labrador,NL,2006,Science,526,2.5,False,"CMEC PISA 2025 report, Table B.1.15a"
Newfoundland and Labrador,NL,2009,Science,518,4.0,False,"CMEC PISA 2025 report, Table B.1.15a"
Newfoundland and Labrador,NL,2012,Science,514,5.0,False,"CMEC PISA 2025 report, Table B.1.15a"
Newfoundland and Labrador,NL,2015,Science,506,5.5,False,"CMEC PISA 2025 report, Table B.1.15a"
Newfoundland and Labrador,NL,2018,Science,506,7.3,False,"CMEC PISA 2025 report, Table B.1.15a"
Newfoundland and Labrador,NL,2022,Science,491,6.4,True,"CMEC PISA 2025 report, Table B.1.15a"
Newfoundland and Labrador,NL,2025,Science,489,6.5,True,"CMEC PISA 2025 report, Table B.1.15a"
Nova Scotia,NS,2006,Science,520,2.5,False,"CMEC PISA 2025 report, Table B.1.15a"
Nova Scotia,NS,2009,Science,523,3.7,False,"CMEC PISA 2025 report, Table B.1.15a"
Nova Scotia,NS,2012,Science,516,4.6,False,"CMEC PISA 2025 report, Table B.1.15a"
Nova Scotia,NS,2015,Science,517,6.3,False,"CMEC PISA 2025 report, Table B.1.15a"
Nova Scotia,NS,2018,Science,508,5.8,False,"CMEC PISA 2025 report, Table B.1.15a"
Nova Scotia,NS,2022,Science,492,5.4,True,"CMEC PISA 2025 report, Table B.1.15a"
Nova Scotia,NS,2025,Science,499,5.9,True,"CMEC PISA 2025 report, Table B.1.15a"
Ontario,ON,2006,Science,537,4.2,False,"CMEC PISA 2025 report, Table B.1.15a"
Ontario,ON,2009,Science,531,4.2,False,"CMEC PISA 2025 report, Table B.1.15a"
Ontario,ON,2012,Science,527,5.6,False,"CMEC PISA 2025 report, Table B.1.15a"
Ontario,ON,2015,Science,524,6.0,False,"CMEC PISA 2025 report, Table B.1.15a"
Ontario,ON,2018,Science,519,5.3,False,"CMEC PISA 2025 report, Table B.1.15a"
Ontario,ON,2022,Science,517,5.2,True,"CMEC PISA 2025 report, Table B.1.15a"
Ontario,ON,2025,Science,513,5.7,True,"CMEC PISA 2025 report, Table B.1.15a"
Prince Edward Island,PE,2006,Science,509,2.7,False,"CMEC PISA 2025 report, Table B.1.15a"
Prince Edward Island,PE,2009,Science,495,3.5,False,"CMEC PISA 2025 report, Table B.1.15a"
Prince Edward Island,PE,2012,Science,490,4.4,False,"CMEC PISA 2025 report, Table B.1.15a"
Prince Edward Island,PE,2015,Science,515,7.0,False,"CMEC PISA 2025 report, Table B.1.15a"
Prince Edward Island,PE,2018,Science,502,9.5,False,"CMEC PISA 2025 report, Table B.1.15a"
Prince Edward Island,PE,2022,Science,496,13.9,False,"CMEC PISA 2025 report, Table B.1.15a"
Prince Edward Island,PE,2025,Science,481,7.7,False,"CMEC PISA 2025 report, Table B.1.15a"
Quebec,QC,2006,Science,531,4.2,False,"CMEC PISA 2025 report, Table B.1.15a"
Quebec,QC,2009,Science,524,4.1,False,"CMEC PISA 2025 report, Table B.1.15a"
Quebec,QC,2012,Science,516,4.8,False,"CMEC PISA 2025 report, Table B.1.15a"
Quebec,QC,2015,Science,537,6.5,False,"CMEC PISA 2025 report, Table B.1.15a"
Quebec,QC,2018,Science,522,5.1,False,"CMEC PISA 2025 report, Table B.1.15a"
Quebec,QC,2022,Science,512,5.6,True,"CMEC PISA 2025 report, Table B.1.15a"
Quebec,QC,2025,Science,510,5.6,True,"CMEC PISA 2025 report, Table B.1.15a"
Saskatchewan,SK,2006,Science,517,3.6,False,"CMEC PISA 2025 report, Table B.1.15a"
Saskatchewan,SK,2009,Science,513,4.5,False,"CMEC PISA 2025 report, Table B.1.15a"
Saskatchewan,SK,2012,Science,516,4.6,False,"CMEC PISA 2025 report, Table B.1.15a"
Saskatchewan,SK,2015,Science,496,5.5,False,"CMEC PISA 2025 report, Table B.1.15a"
Saskatchewan,SK,2018,Science,501,5.2,False,"CMEC PISA 2025 report, Table B.1.15a"
Saskatchewan,SK,2022,Science,494,4.8,False,"CMEC PISA 2025 report, Table B.1.15a"
Saskatchewan,SK,2025,Science,500,6.1,False,"CMEC PISA 2025 report, Table B.1.15a"
