lat,lon,size_ha,province,cause,year
53.1102,-120.0109,0.0,British Columbia,Other / unknown,2023
53.037,-121.9612,0.0,British Columbia,Other / unknown,2023
52.622,-125.4686,0.0,British Columbia,Other / unknown,2023
50.5834,-120.0074,0.0,British Columbia,Other / unknown,2023
51.7776,-121.2159,0.0,British Columbia,Other / unknown,2023
50.6575,-117.9928,0.0,British Columbia,Other / unknown,2023
51.7806,-118.9663,0.0,British Columbia,Other / unknown,2023
53.9938,-123.2764,0.0,British Columbia,Other / unknown,2023
51.3748,-119.4233,0.0,British Columbia,Other / unknown,2023
55.3388,-114.9733,0.0,Alberta,Human,2023
54.5495,-127.5984,0.0,British Columbia,Other / unknown,2023
51.3347,-120.3688,0.0,British Columbia,Other / unknown,2023
57.7802,-114.693,0.0,Alberta,Other / unknown,2023
