ctuid,name,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,population
5050135.03,5050135.03,18.9,5.4,0.0,1.1,5.4,0.0,0.0,2.3,0.0,0.0,0.0,78.2,3.1,1770
5050136.01,5050136.01,17.6,6.1,0.6,4.7,2.3,0.9,0.2,0.8,0.0,0.0,0.0,79.0,3.5,4265
5050136.02,5050136.02,26.9,3.8,3.0,5.9,3.3,4.4,1.5,2.1,0.9,0.0,0.0,69.5,3.6,4665
5050137.02,5050137.02,23.8,3.9,4.3,3.7,1.4,4.1,1.1,2.0,0.7,0.9,1.1,72.8,3.6,2810
5050137.03,5050137.03,16.6,3.6,3.3,1.9,0.6,0.0,0.0,0.0,2.8,0.0,0.8,82.3,1.1,1805
5050137.04,5050137.04,17.5,7.4,1.4,2.1,0.7,3.2,0.7,0.0,0.0,0.0,0.0,80.5,2.1,2175
5050137.05,5050137.05,40.4,7.4,16.4,4.8,0.5,4.2,1.4,1.3,1.1,1.0,0.0,58.1,1.5,6720
5050138.00,5050138.00,67.7,22.0,1.6,14.4,5.7,15.6,1.4,1.1,3.7,0.0,0.0,30.3,2.0,7615
5050139.00,5050139.00,13.4,3.4,3.0,1.3,0.6,1.3,1.0,0.0,2.4,0.0,0.0,83.1,3.4,3965
5050140.03,5050140.03,22.4,4.1,3.7,3.3,3.7,3.5,1.6,0.4,1.0,0.0,0.0,74.6,3.1,2540
5050140.04,5050140.04,19.0,4.1,5.3,3.7,0.5,2.8,0.9,0.6,0.3,0.0,0.4,78.1,2.9,4885
5050140.05,5050140.05,23.9,4.1,2.0,4.5,3.5,2.5,2.1,1.9,1.1,0.3,0.0,73.3,2.8,4520
5050140.06,5050140.06,13.3,2.4,2.0,0.9,2.0,5.1,0.0,0.0,0.0,0.0,0.0,82.4,4.2,2250
5050140.07,5050140.07,17.4,2.4,2.0,5.1,0.8,2.3,1.3,1.6,0.2,1.1,0.0,80.2,2.3,4350
5050141.04,5050141.04,30.3,6.6,12.7,3.2,0.9,2.5,1.4,1.0,0.6,0.0,0.0,68.3,1.4,3925
5050141.09,5050141.09,49.0,9.2,8.5,8.0,2.3,12.8,1.5,3.3,1.2,0.9,0.0,49.6,1.4,6165
5050141.10,5050141.10,43.9,12.0,5.6,7.1,2.1,4.9,2.6,3.7,1.8,0.9,0.5,53.8,2.4,5415
5050141.11,5050141.11,52.9,11.1,7.4,9.3,2.5,10.7,0.8,4.2,3.1,1.2,0.4,45.8,1.3,5680
5050141.13,5050141.13,54.1,13.4,7.1,9.3,3.2,12.4,1.0,3.5,3.0,0.0,0.0,45.8,0.3,3540
5050141.14,5050141.14,22.0,6.2,8.8,1.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,77.1,1.0,2095
5050141.16,5050141.16,41.7,7.5,5.8,8.5,3.3,8.3,1.3,3.5,1.7,0.3,0.0,55.2,3.3,5990
5050141.17,5050141.17,53.7,13.8,8.9,8.6,2.7,11.0,1.2,1.9,1.0,1.4,0.0,45.0,1.2,4200
5050141.18,5050141.18,37.9,6.8,9.0,6.4,2.9,4.7,2.4,2.4,0.3,0.5,0.7,60.0,2.2,6740
5050141.19,5050141.19,36.7,7.1,13.8,5.4,0.0,4.4,0.0,2.4,0.0,0.0,0.0,60.9,2.4,1485
5050141.20,5050141.20,58.1,15.4,11.9,7.1,0.8,12.7,1.7,2.5,2.8,0.7,0.4,40.1,1.8,3580
5050141.21,5050141.21,62.9,16.4,16.4,7.5,3.6,11.5,0.5,2.5,1.1,1.6,0.0,34.9,2.4,3180
5050141.22,5050141.22,68.2,16.2,17.2,9.7,3.3,13.4,1.9,1.9,2.6,0.4,0.0,31.1,0.7,5485
5050141.23,5050141.23,59.6,19.6,6.5,12.4,2.5,8.0,2.0,3.0,0.5,1.7,0.0,38.6,1.8,4830
5050141.24,5050141.24,58.7,15.3,11.8,8.6,1.0,11.9,2.6,2.5,0.4,1.0,0.0,38.7,2.6,6235
5050141.25,5050141.25,60.1,14.8,12.7,8.3,2.5,12.9,2.3,2.4,1.8,0.9,0.0,38.8,1.1,9045
5050141.26,5050141.26,49.2,9.3,17.8,8.5,0.9,4.4,1.5,1.6,1.4,0.9,0.0,49.5,1.1,5320
5050151.03,5050151.03,4.6,1.2,0.6,1.0,0.5,0.2,0.4,0.3,0.0,0.0,0.0,92.4,3.0,5715
5050151.04,5050151.04,7.4,1.2,1.1,1.6,0.6,0.3,1.0,0.4,0.4,0.4,0.0,90.9,1.8,5995
5050151.05,5050151.05,7.4,2.8,2.0,1.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,90.2,2.5,3430
5050151.06,5050151.06,10.5,3.3,2.3,0.8,0.5,0.8,0.2,0.0,0.2,0.8,0.0,86.3,3.2,5840
5050151.08,5050151.08,37.6,12.9,5.2,6.2,1.5,4.3,1.4,2.5,1.4,0.8,0.2,60.5,2.0,13965
5050151.09,5050151.09,6.3,1.5,1.2,1.5,0.2,0.0,0.2,0.8,0.0,0.0,0.0,89.9,3.9,5395
5050151.10,5050151.10,36.3,9.4,7.7,5.0,1.1,2.9,2.2,4.1,2.1,0.0,0.5,62.3,1.4,5260
5050151.11,5050151.11,25.9,5.3,4.4,4.2,0.2,6.7,0.5,2.8,0.4,0.4,0.4,72.2,1.8,5970
5050160.02,5050160.02,18.8,5.2,3.1,2.8,0.7,2.9,2.2,0.0,0.3,0.3,0.3,77.9,3.3,5135
5050160.04,5050160.04,23.4,4.7,4.3,3.7,1.1,2.7,1.1,2.6,0.6,0.6,0.4,74.7,1.8,6070
5050160.05,5050160.05,15.1,2.2,3.8,1.7,1.4,2.5,1.6,0.5,0.5,0.0,0.0,82.9,2.2,3185
5050160.06,5050160.06,32.5,7.8,7.0,2.7,1.1,3.4,1.9,3.7,2.9,0.3,0.5,65.9,1.7,5430
5050160.07,5050160.07,39.0,6.4,19.3,1.3,0.3,2.7,0.5,1.0,4.2,1.0,0.2,59.9,1.1,6540
5050160.09,5050160.09,22.8,6.1,7.5,1.7,1.0,2.5,0.4,0.0,1.0,0.0,0.0,74.1,3.1,3860
5050160.11,5050160.11,48.3,13.1,7.3,8.8,2.8,8.2,1.7,2.9,1.6,0.7,0.2,49.1,2.5,5765
5050160.12,5050160.12,59.5,22.4,8.9,7.1,1.9,10.2,0.8,2.7,3.2,0.0,0.0,38.2,2.3,3865
5050160.13,5050160.13,44.4,9.7,11.3,4.3,2.1,7.7,1.3,2.4,4.4,0.4,0.0,54.2,1.4,5835
5050160.14,5050160.14,70.7,14.0,38.6,1.9,1.3,6.3,1.1,1.1,2.6,0.9,0.9,28.8,0.4,5105
5050160.15,5050160.15,53.4,10.8,22.7,4.1,0.5,3.2,0.6,4.4,4.0,1.8,0.0,46.0,0.6,5845
5050161.03,5050161.03,27.5,4.6,4.8,6.8,0.8,4.0,1.4,2.2,1.0,0.5,0.5,70.2,2.3,4550
5050161.04,5050161.04,22.0,4.2,7.9,1.7,0.3,2.6,1.1,1.8,0.4,0.0,0.0,76.6,1.3,5030
5050161.05,5050161.05,23.8,4.4,4.4,3.8,1.3,2.4,1.4,2.0,2.0,0.5,0.0,73.6,2.6,6650
5050161.06,5050161.06,38.5,11.3,6.6,6.3,0.9,4.7,2.7,2.4,1.7,0.2,0.0,59.6,2.0,9475
5050162.02,5050162.02,32.4,9.1,4.5,6.0,0.8,3.4,2.2,1.8,2.0,0.9,0.0,64.0,3.7,6780
5050162.03,5050162.03,15.4,2.3,1.3,4.6,1.5,1.5,0.5,0.8,0.0,0.0,0.7,80.3,4.4,3045
5050162.04,5050162.04,46.5,16.0,6.4,8.0,2.4,4.1,1.1,3.2,2.7,0.4,0.0,51.4,2.1,6055
