ctuid,name,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,population
5350576.05,5350576.05,42.5,14.1,10.1,12.0,19.0,1.9,0.1,0.0,0.2,6675
5350576.06,5350576.06,46.8,15.4,9.7,13.0,14.1,0.9,0.1,0.0,0.2,8235
5350576.07,5350576.07,43.5,13.2,15.5,11.1,15.0,1.4,0.0,0.0,0.2,4425
5350576.09,5350576.09,59.5,22.9,3.3,6.6,7.0,0.4,0.0,0.0,0.3,3800
5350576.16,5350576.16,29.4,7.0,8.2,17.4,37.3,0.9,0.0,0.0,0.0,6360
5350576.17,5350576.17,30.9,5.7,10.3,17.2,34.9,0.8,0.0,0.0,0.2,6725
5350576.20,5350576.20,20.2,6.1,7.7,19.8,44.3,1.6,0.0,0.0,0.0,6460
5350576.22,5350576.22,25.8,6.3,7.7,20.6,37.8,1.6,0.0,0.0,0.2,7295
5350576.29,5350576.29,37.3,11.0,11.3,17.1,22.3,0.6,0.0,0.0,0.0,4365
5350576.31,5350576.31,60.6,13.9,5.5,6.4,12.6,0.7,0.0,0.0,0.4,3745
5350576.33,5350576.33,57.6,12.3,9.8,6.3,11.5,0.8,1.0,0.0,0.0,2605
5350576.34,5350576.34,45.9,10.7,6.8,16.1,19.0,0.7,0.0,0.0,0.6,6005
5350576.43,5350576.43,41.2,7.6,10.3,17.4,22.2,1.2,0.0,0.0,0.0,6400
5350576.44,5350576.44,48.5,9.2,4.4,13.7,22.9,1.2,0.0,0.0,0.0,2815
5350576.45,5350576.45,30.0,5.6,5.4,12.5,44.4,1.4,0.0,0.0,0.0,2870
5350576.46,5350576.46,26.6,6.2,7.9,18.9,38.3,1.4,0.0,0.0,0.8,5225
5350576.47,5350576.47,20.3,5.7,8.8,18.3,45.6,1.0,0.0,0.0,0.0,4145
5350576.49,5350576.49,44.7,5.3,9.7,16.1,21.9,1.6,0.0,0.0,0.8,5125
5350576.50,5350576.50,33.7,11.3,10.0,15.2,26.1,2.2,0.4,0.0,1.0,6745
5350576.52,5350576.52,35.4,12.1,10.5,15.6,24.5,1.6,0.0,0.0,0.3,5885
5350576.53,5350576.53,34.6,8.2,6.9,19.5,30.6,0.5,0.0,0.0,0.0,4215
5350576.54,5350576.54,25.6,5.9,7.6,23.6,36.3,0.6,0.0,0.0,0.2,5810
5350576.55,5350576.55,20.8,5.6,8.3,19.4,45.1,0.8,0.0,0.0,0.0,6590
5350576.57,5350576.57,38.2,7.7,6.5,18.8,28.2,0.7,0.0,0.0,0.0,3780
5350576.59,5350576.59,20.1,4.7,6.3,18.2,49.7,0.9,0.0,0.0,0.0,6390
5350576.62,5350576.62,22.7,4.9,6.8,25.8,38.5,1.3,0.0,0.0,0.0,6790
5350576.63,5350576.63,20.6,4.1,5.4,24.7,44.5,0.7,0.0,0.0,0.0,6720
5350576.65,5350576.65,25.7,7.4,10.2,37.4,18.9,0.6,0.0,0.0,0.0,3090
5350576.66,5350576.66,23.2,4.7,5.4,16.1,48.8,0.9,0.0,0.0,1.0,6455
5350576.68,5350576.68,26.9,3.7,6.1,14.2,46.8,1.0,0.0,0.0,1.1,4905
5350576.69,5350576.69,20.7,5.3,10.5,20.4,41.8,0.4,0.0,0.0,0.9,5840
5350576.73,5350576.73,23.9,3.7,8.4,14.0,50.0,0.0,0.0,0.0,0.0,2850
5350576.74,5350576.74,10.1,1.4,8.3,25.0,54.7,0.4,0.0,0.0,0.3,8225
5350576.75,5350576.75,29.0,4.4,5.3,13.5,46.7,0.8,0.2,0.0,0.0,6450
5350576.76,5350576.76,50.2,17.0,6.6,9.2,16.3,0.4,0.3,0.0,0.0,4775
5350576.77,5350576.77,37.6,7.7,5.6,19.7,26.9,2.1,0.0,0.0,0.0,5075
5350576.78,5350576.78,20.2,5.0,9.0,21.5,43.7,0.0,0.0,0.0,0.6,5145
5350576.79,5350576.79,26.4,6.3,8.3,16.8,40.9,0.6,0.0,0.0,0.7,2705
5350576.80,5350576.80,47.9,8.3,4.3,18.7,19.6,0.3,0.0,0.0,0.0,3235
5350576.81,5350576.81,35.7,5.5,8.2,22.2,27.6,0.6,0.0,0.0,0.0,4750
5350576.82,5350576.82,20.1,5.2,8.3,22.6,41.7,2.0,0.0,0.0,0.0,5210
5350576.83,5350576.83,21.3,2.5,6.8,24.4,44.7,0.0,0.0,0.0,0.0,2585
5350576.84,5350576.84,22.4,3.0,9.7,25.7,37.8,0.8,0.0,0.0,0.5,5505
5350576.85,5350576.85,24.2,4.5,7.2,20.0,43.0,0.6,0.0,0.0,0.8,6830
5350576.86,5350576.86,18.2,3.2,5.1,36.9,34.1,0.9,0.0,0.0,1.8,4515
5350576.87,5350576.87,22.7,8.9,7.6,21.5,38.5,0.4,0.0,0.0,0.0,3935
5350576.88,5350576.88,21.1,4.9,6.4,20.6,46.2,1.0,0.0,0.0,0.0,4155
5350576.89,5350576.89,20.7,7.3,3.2,19.3,49.2,0.5,0.0,0.0,0.0,3895
5350576.90,5350576.90,28.3,6.8,9.4,26.6,26.4,1.3,0.0,0.0,0.9,3820
5350576.91,5350576.91,25.9,8.3,20.8,22.5,20.1,1.7,0.2,0.0,0.4,12780
5350576.92,5350576.92,41.6,9.6,5.9,22.3,19.6,0.5,0.4,0.0,0.0,5625
5350576.93,5350576.93,20.1,7.4,21.7,21.3,26.8,2.4,0.0,0.0,0.2,8495
5350576.94,5350576.94,24.5,4.5,7.7,37.7,24.1,0.8,0.0,0.0,0.8,4435
5350576.95,5350576.95,12.6,3.6,12.5,31.5,38.8,0.0,0.0,0.0,0.9,4525
5350576.96,5350576.96,27.1,4.1,6.6,37.5,22.8,0.7,0.0,0.0,1.1,6780
5350576.97,5350576.97,20.5,3.4,7.7,37.8,29.9,0.6,0.0,0.0,0.0,4310
5350576.98,5350576.98,25.1,7.0,12.9,26.4,27.4,0.8,0.0,0.0,0.4,29730
5350576.99,5350576.99,34.8,9.7,13.7,23.9,16.1,1.2,0.0,0.0,0.7,5490
5350577.00,5350577.00,18.9,5.6,15.0,27.5,30.7,0.9,0.0,0.0,1.4,9330
5350577.01,5350577.01,34.6,6.7,8.6,18.0,31.7,0.0,0.0,0.0,0.0,3135
