name,province,Latitude,Longitude,elevation_m
Mont Comi,Quebec,48.463786,-68.209611,575.6
Mont Albert-Low,Quebec,61.722778,-72.218889,554.6
Mont Arthur-LeBlanc,Quebec,48.39663,-70.195719,552.6
Mont Springer,Quebec,49.804444,-74.816111,550.3
Mont Brome,Quebec,45.289152,-72.637916,546.8
Mont des Catalans,Quebec,48.421441,-66.744974,544.3
Mont Shefford,Quebec,45.363519,-72.625927,519.0
Blue Mountain,New Brunswick,47.796732,-66.315138,518.8
Gnat Mountain,Newfoundland and Labrador,54.169788,-58.150051,498.4
Tahiapik Mountain,Nunavut,67.305556,-116.78056,497.3
Mount Bumpus,Nunavut,69.55,-112.66667,497.0
Quisibis Mountain,New Brunswick,47.425443,-67.969035,491.1
Mont B̩lair,Quebec,46.823035,-71.494013,483.5
Todd Mountain,New Brunswick,46.540116,-66.707095,482.5
Mont Vid̩o,Quebec,48.4138889,-77.7791667,470.4
Mount Peyton,Newfoundland and Labrador,48.947199,-55.100901,470.4
Ammonite Mountain,Nunavut,77.816667,-87.516667,469.6
Pandora Peak,British Columbia,48.575556,-124.445277,461.3
Little Mountain,Newfoundland and Labrador,48.271841,-58.438024,446.2
Mount Howley,Newfoundland and Labrador,48.271841,-58.438024,446.2
Mont Brillant,Quebec,46.899783,-71.447813,444.6
Caledon Mountain,Ontario,43.8416667,-79.9672222,433.7
Mount Royal,Ontario,49.9363889,-88.8111111,416.5
Mont Yamaska,Quebec,45.445988,-72.868791,413.8
Sugarloaf Mountain,Nova Scotia,46.422899,-60.931038,411.1
Mont Saint-Hilaire,Quebec,45.55683,-73.164097,405.8
Mont D̫me,Quebec,50.612069,-76.448696,394.0
Mont Rougemont,Quebec,45.475621,-73.073099,391.9
