ctuid,name,median_income
8250038.35,0038.35 - Calgary,104000.0
8250038.36,0038.36 - Calgary,107000.0
8250038.37,0038.37 - Calgary,84000.0
8250038.38,0038.38 - Calgary,97000.0
8250038.39,0038.39 - Calgary,114000.0
8250038.40,0038.40 - Calgary,99000.0
8250038.41,0038.41 - Calgary,97000.0
8250038.42,0038.42 - Calgary,114000.0
8250038.43,0038.43 - Calgary,105000.0
8250038.44,0038.44 - Calgary,99000.0
8250038.45,0038.45 - Calgary,97000.0
8250038.46,0038.46 - Calgary,97000.0
8250038.47,0038.47 - Calgary,111000.0
8250038.48,0038.48 - Calgary,100000.0
8250038.49,0038.49 - Calgary,99000.0
8250039.00,0039.00 - Calgary,65500.0
8250040.00,0040.00 - Calgary,73000.0
8250041.00,0041.00 - Calgary,76500.0
8250042.01,0042.01 - Calgary,46800.0
8250042.02,0042.02 - Calgary,87000.0
8250043.00,0043.00 - Calgary,65000.0
8250044.00,0044.00 - Calgary,67500.0
8250045.01,0045.01 - Calgary,64500.0
8250045.02,0045.02 - Calgary,75500.0
8250046.01,0046.01 - Calgary,68500.0
8250046.02,0046.02 - Calgary,69500.0
8250047.00,0047.00 - Calgary,72000.0
8250048.00,0048.00 - Calgary,79000.0
8250049.01,0049.01 - Calgary,105000.0
8250049.04,0049.04 - Calgary,102000.0
8250049.05,0049.05 - Calgary,92000.0
8250049.06,0049.06 - Calgary,133000.0
8250049.07,0049.07 - Calgary,147000.0
8250050.01,0050.01 - Calgary,71000.0
8250050.07,0050.07 - Calgary,71000.0
8250050.10,0050.10 - Calgary,155000.0
8250050.12,0050.12 - Calgary,158000.0
8250050.13,0050.13 - Calgary,144000.0
8250050.14,0050.14 - Calgary,139000.0
8250050.15,0050.15 - Calgary,182000.0
8250050.16,0050.16 - Calgary,160000.0
8250050.17,0050.17 - Calgary,148000.0
8250050.18,0050.18 - Calgary,172000.0
8250050.19,0050.19 - Calgary,152000.0
8250050.21,0050.21 - Calgary,184000.0
8250050.22,0050.22 - Calgary,264000.0
8250051.00,0051.00 - Calgary,71000.0
8250052.01,0052.01 - Calgary,96000.0
8250052.02,0052.02 - Calgary,120000.0
8250052.03,0052.03 - Calgary,135000.0
8250052.04,0052.04 - Calgary,91000.0
8250052.06,0052.06 - Calgary,139000.0
8250052.07,0052.07 - Calgary,129000.0
8250052.09,0052.09 - Calgary,141000.0
8250052.10,0052.10 - Calgary,112000.0
8250052.11,0052.11 - Calgary,159000.0
8250052.12,0052.12 - Calgary,180000.0
8250053.00,0053.00 - Calgary,91000.0
8250054.00,0054.00 - Calgary,112000.0
8250055.00,0055.00 - Calgary,127000.0
8250056.00,0056.00 - Calgary,119000.0
8250057.00,0057.00 - Calgary,96000.0
8250058.00,0058.00 - Calgary,86000.0
8250059.00,0059.00 - Calgary,74000.0
8250060.00,0060.00 - Calgary,91000.0
8250061.00,0061.00 - Calgary,72500.0
8250062.00,0062.00 - Calgary,90000.0
8250063.00,0063.00 - Calgary,106000.0
8250064.00,0064.00 - Calgary,79500.0
8250065.00,0065.00 - Calgary,82000.0
8250066.02,0066.02 - Calgary,73500.0
8250066.03,0066.03 - Calgary,71000.0
8250067.00,0067.00 - Calgary,66500.0
8250068.00,0068.00 - Calgary,120000.0
8250069.00,0069.00 - Calgary,119000.0
8250070.00,0070.00 - Calgary,94000.0
8250071.00,0071.00 - Calgary,96000.0
8250072.00,0072.00 - Calgary,81000.0
8250073.00,0073.00 - Calgary,62000.0
8250074.00,0074.00 - Calgary,94000.0
8250075.01,0075.01 - Calgary,72000.0
8250075.02,0075.02 - Calgary,72000.0
8250076.01,0076.01 - Calgary,84000.0
8250076.02,0076.02 - Calgary,71500.0
8250076.03,0076.03 - Calgary,92000.0
8250076.04,0076.04 - Calgary,79000.0
8250076.05,0076.05 - Calgary,80000.0
8250076.06,0076.06 - Calgary,86000.0
8250076.09,0076.09 - Calgary,93000.0
8250076.13,0076.13 - Calgary,114000.0
8250076.14,0076.14 - Calgary,102000.0
8250076.15,0076.15 - Calgary,94000.0
8250076.19,0076.19 - Calgary,131000.0
8250076.20,0076.20 - Calgary,99000.0
8250076.23,0076.23 - Calgary,116000.0
8250076.24,0076.24 - Calgary,111000.0
8250076.25,0076.25 - Calgary,133000.0
8250076.26,0076.26 - Calgary,124000.0
8250076.27,0076.27 - Calgary,125000.0
8250076.28,0076.28 - Calgary,128000.0
8250076.29,0076.29 - Calgary,118000.0
8250076.30,0076.30 - Calgary,92000.0
8250076.31,0076.31 - Calgary,130000.0
8250076.32,0076.32 - Calgary,129000.0
8250076.33,0076.33 - Calgary,103000.0
8250076.34,0076.34 - Calgary,100000.0
8250076.35,0076.35 - Calgary,107000.0
8250076.37,0076.37 - Calgary,117000.0
8250076.38,0076.38 - Calgary,119000.0
8250076.39,0076.39 - Calgary,68000.0
8250077.01,0077.01 - Calgary,103000.0
8250077.02,0077.02 - Calgary,75500.0
8250077.03,0077.03 - Calgary,117000.0
8250077.04,0077.04 - Calgary,79500.0
8250077.06,0077.06 - Calgary,127000.0
8250077.13,0077.13 - Calgary,124000.0
8250077.14,0077.14 - Calgary,122000.0
8250077.16,0077.16 - Calgary,133000.0
8250077.17,0077.17 - Calgary,104000.0
8250077.19,0077.19 - Calgary,107000.0
8250077.20,0077.20 - Calgary,121000.0
8250077.21,0077.21 - Calgary,86000.0
8250077.22,0077.22 - Calgary,132000.0
8250077.23,0077.23 - Calgary,115000.0
8250077.24,0077.24 - Calgary,124000.0
8250077.25,0077.25 - Calgary,109000.0
8250077.26,0077.26 - Calgary,130000.0
8250077.27,0077.27 - Calgary,97000.0
8250077.28,0077.28 - Calgary,157000.0
8250077.30,0077.30 - Calgary,134000.0
8250077.31,0077.31 - Calgary,144000.0
8250077.32,0077.32 - Calgary,127000.0
8250077.33,0077.33 - Calgary,106000.0
8250077.34,0077.34 - Calgary,145000.0
8250077.35,0077.35 - Calgary,132000.0
8250077.36,0077.36 - Calgary,111000.0
8250077.37,0077.37 - Calgary,117000.0
8250077.38,0077.38 - Calgary,101000.0
8250077.39,0077.39 - Calgary,95000.0
8250077.40,0077.40 - Calgary,120000.0
8250077.41,0077.41 - Calgary,118000.0
8250200.03,0200.03 - Calgary,131000.0
8250200.05,0200.05 - Calgary,210000.0
8250200.06,0200.06 - Calgary,236000.0
8250201.01,0201.01 - Calgary,180000.0
8250201.02,0201.02 - Calgary,123000.0
8250202.01,0202.01 - Calgary,118000.0
8250202.02,0202.02 - Calgary,133000.0
8250202.03,0202.03 - Calgary,104000.0
8250202.04,0202.04 - Calgary,124000.0
8250203.00,0203.00 - Calgary,96000.0
8250204.01,0204.01 - Calgary,139000.0
8250204.03,0204.03 - Calgary,114000.0
8250204.06,0204.06 - Calgary,152000.0
8250204.07,0204.07 - Calgary,140000.0
8250204.08,0204.08 - Calgary,138000.0
8250204.09,0204.09 - Calgary,132000.0
8250204.10,0204.10 - Calgary,116000.0
8250204.12,0204.12 - Calgary,129000.0
8250204.13,0204.13 - Calgary,134000.0
8250205.02,0205.02 - Calgary,88000.0
8250205.04,0205.04 - Calgary,115000.0
8250205.05,0205.05 - Calgary,112000.0
8250205.06,0205.06 - Calgary,117000.0
8250205.07,0205.07 - Calgary,116000.0
8250205.08,0205.08 - Calgary,105000.0
8250205.09,0205.09 - Calgary,124000.0
8250206.02,0206.02 - Calgary,90000.0
8250206.05,0206.05 - Calgary,79000.0
8250206.06,0206.06 - Calgary,127000.0
8250206.07,0206.07 - Calgary,102000.0
8250206.08,0206.08 - Calgary,139000.0
8250206.09,0206.09 - Calgary,108000.0
8250206.10,0206.10 - Calgary,121000.0
8250206.11,0206.11 - Calgary,116000.0
8250207.01,0207.01 - Calgary,116000.0
8250207.03,0207.03 - Calgary,89000.0
8250207.04,0207.04 - Calgary,136000.0
9300001.00,0001.00 - Chilliwack,106000.0
9300002.02,0002.02 - Chilliwack,87000.0
9300003.00,0003.00 - Chilliwack,43600.0
9300004.00,0004.00 - Chilliwack,60400.0
9300005.00,0005.00 - Chilliwack,42800.0
9300006.00,0006.00 - Chilliwack,52000.0
9300007.00,0007.00 - Chilliwack,76000.0
9300008.00,0008.00 - Chilliwack,81000.0
9300009.00,0009.00 - Chilliwack,44000.0
9300010.00,0010.00 - Chilliwack,65000.0
9300011.01,0011.01 - Chilliwack,42000.0
9300011.02,0011.02 - Chilliwack,80000.0
9300013.00,0013.00 - Chilliwack,105000.0
9300014.00,0014.00 - Chilliwack,105000.0
9300015.00,0015.00 - Chilliwack,117000.0
9300016.02,0016.02 - Chilliwack,126000.0
9300016.03,0016.03 - Chilliwack,110000.0
9300016.04,0016.04 - Chilliwack,116000.0
9300017.01,0017.01 - Chilliwack,111000.0
9300017.02,0017.02 - Chilliwack,83000.0
9300018.01,0018.01 - Chilliwack,63200.0
9300018.02,0018.02 - Chilliwack,101000.0
9300019.00,0019.00 - Chilliwack,96000.0
9300020.02,0020.02 - Chilliwack,67000.0
9300020.03,0020.03 - Chilliwack,60000.0
9300021.00,0021.00 - Chilliwack,97000.0
9300022.00,0022.00 - Chilliwack,114000.0
9300023.02,0023.02 - Chilliwack,109000.0
9300024.00,0024.00 - Chilliwack,91000.0
9300025.00,0025.00 - Chilliwack,77500.0
9300028.00,0028.00 - Chilliwack,78000.0
9300030.00,0030.00 - Chilliwack,55600.0
9300031.00,0031.00 - Chilliwack,74000.0
9300032.00,0032.00 - Chilliwack,109000.0
4470001.01,0001.01 - Drummondville,69000.0
4470001.02,0001.02 - Drummondville,47600.0
4470002.00,0002.00 - Drummondville,58400.0
4470003.00,0003.00 - Drummondville,36400.0
4470004.00,0004.00 - Drummondville,53600.0
4470005.00,0005.00 - Drummondville,71500.0
4470006.00,0006.00 - Drummondville,50400.0
4470007.00,0007.00 - Drummondville,40800.0
4470008.00,0008.00 - Drummondville,57600.0
4470009.01,0009.01 - Drummondville,87000.0
4470009.02,0009.02 - Drummondville,76500.0
4470010.00,0010.00 - Drummondville,80000.0
4470011.00,0011.00 - Drummondville,81000.0
4470012.00,0012.00 - Drummondville,68000.0
4470013.00,0013.00 - Drummondville,90000.0
4470014.00,0014.00 - Drummondville,77500.0
4470015.00,0015.00 - Drummondville,82000.0
4470100.00,0100.00 - Drummondville,90000.0
4470101.00,0101.00 - Drummondville,75500.0
4470102.00,0102.00 - Drummondville,75500.0
4470103.00,0103.00 - Drummondville,71000.0
4470104.00,0104.00 - Drummondville,66000.0
4470105.00,0105.00 - Drummondville,93000.0
4470106.00,0106.00 - Drummondville,72000.0
4470107.00,0107.00 - Drummondville,74000.0
4470108.00,0108.00 - Drummondville,73000.0
8350001.02,0001.02 - Edmonton,100000.0
8350001.03,0001.03 - Edmonton,87000.0
8350001.04,0001.04 - Edmonton,76000.0
8350001.05,0001.05 - Edmonton,65000.0
8350001.06,0001.06 - Edmonton,71000.0
8350001.07,0001.07 - Edmonton,94000.0
8350002.01,0002.01 - Edmonton,119000.0
8350002.02,0002.02 - Edmonton,80000.0
8350002.03,0002.03 - Edmonton,88000.0
8350002.04,0002.04 - Edmonton,73500.0
8350002.05,0002.05 - Edmonton,65000.0
8350003.00,0003.00 - Edmonton,100000.0
8350004.01,0004.01 - Edmonton,109000.0
8350004.02,0004.02 - Edmonton,115000.0
8350005.01,0005.01 - Edmonton,146000.0
8350005.02,0005.02 - Edmonton,85000.0
8350005.07,0005.07 - Edmonton,172000.0
8350005.08,0005.08 - Edmonton,137000.0
8350005.09,0005.09 - Edmonton,156000.0
8350005.10,0005.10 - Edmonton,133000.0
8350005.11,0005.11 - Edmonton,129000.0
8350005.12,0005.12 - Edmonton,120000.0
8350005.13,0005.13 - Edmonton,143000.0
8350006.03,0006.03 - Edmonton,82000.0
8350006.04,0006.04 - Edmonton,68500.0
8350006.05,0006.05 - Edmonton,93000.0
8350006.06,0006.06 - Edmonton,57200.0
8350006.08,0006.08 - Edmonton,99000.0
8350006.09,0006.09 - Edmonton,94000.0
8350006.13,0006.13 - Edmonton,86000.0
8350006.14,0006.14 - Edmonton,63200.0
8350006.15,0006.15 - Edmonton,89000.0
8350006.16,0006.16 - Edmonton,72500.0
8350006.17,0006.17 - Edmonton,121000.0
8350006.18,0006.18 - Edmonton,137000.0
8350006.19,0006.19 - Edmonton,164000.0
8350006.20,0006.20 - Edmonton,119000.0
8350007.01,0007.01 - Edmonton,92000.0
8350007.02,0007.02 - Edmonton,146000.0
8350008.01,0008.01 - Edmonton,153000.0
8350008.02,0008.02 - Edmonton,79000.0
8350009.00,0009.00 - Edmonton,144000.0
8350010.00,0010.00 - Edmonton,147000.0
8350011.00,0011.00 - Edmonton,85000.0
8350012.01,0012.01 - Edmonton,77500.0
8350012.02,0012.02 - Edmonton,78000.0
8350013.00,0013.00 - Edmonton,55600.0
8350014.00,0014.00 - Edmonton,84000.0
8350015.02,0015.02 - Edmonton,88000.0
8350016.02,0016.02 - Edmonton,98000.0
8350017.00,0017.00 - Edmonton,88000.0
8350019.01,0019.01 - Edmonton,73000.0
8350019.02,0019.02 - Edmonton,81000.0
8350020.00,0020.00 - Edmonton,73000.0
8350021.00,0021.00 - Edmonton,67000.0
8350022.00,0022.00 - Edmonton,60400.0
8350023.00,0023.00 - Edmonton,52000.0
8350024.01,0024.01 - Edmonton,156000.0
8350024.02,0024.02 - Edmonton,143000.0
8350025.00,0025.00 - Edmonton,70500.0
8350026.01,0026.01 - Edmonton,77500.0
8350026.02,0026.02 - Edmonton,90000.0
8350027.00,0027.00 - Edmonton,65500.0
8350028.00,0028.00 - Edmonton,52400.0
8350029.00,0029.00 - Edmonton,118000.0
8350030.00,0030.00 - Edmonton,65500.0
8350031.00,0031.00 - Edmonton,60400.0
8350032.01,0032.01 - Edmonton,65000.0
8350032.02,0032.02 - Edmonton,68000.0
8350033.01,0033.01 - Edmonton,71500.0
8350033.02,0033.02 - Edmonton,64000.0
8350034.01,0034.01 - Edmonton,55600.0
8350034.02,0034.02 - Edmonton,33600.0
8350034.03,0034.03 - Edmonton,95000.0
8350035.00,0035.00 - Edmonton,71000.0
8350036.00,0036.00 - Edmonton,92000.0
8350037.00,0037.00 - Edmonton,99000.0
