year,dimension,category,employees
2024,Region,British Columbia,29881
2024,Region,Manitoba,13995
2024,Region,National Capital Region (NCR),155505
2024,Region,New Brunswick,13410
2024,Region,Newfoundland and Labrador,7606
2024,Region,Northwest Territories,601
2024,Region,Nova Scotia,13446
2024,Region,Nunavut,396
2024,Region,Ontario (minus the NCR),50891
2024,Region,Outside of Canada,1571
2024,Region,Prince Edward Island,4342
2024,Region,Quebec (minus the NCR),39926
2024,Region,Saskatchewan,6803
2024,Region,Unknown,9316
2024,Region,Yukon,481
2025,Region,Alberta,18880
2025,Region,British Columbia,28901
2025,Region,Manitoba,13235
2025,Region,National Capital Region (NCR),153979
2025,Region,New Brunswick,13108
2025,Region,Newfoundland and Labrador,6995
2025,Region,Northwest Territories,591
2025,Region,Nova Scotia,12967
2025,Region,Nunavut,408
2025,Region,Ontario (minus the NCR),48886
2025,Region,Outside of Canada,1584
2025,Region,Prince Edward Island,4130
2025,Region,Quebec (minus the NCR),38872
2025,Region,Saskatchewan,6640
2025,Region,Unknown,8315
2025,Region,Yukon,474
2026,Region,Alberta,18603
2026,Region,British Columbia,27941
2026,Region,Manitoba,12680
2026,Region,National Capital Region (NCR),146149
2026,Region,New Brunswick,12507
2026,Region,Newfoundland and Labrador,6889
2026,Region,Northwest Territories,594
2026,Region,Nova Scotia,12875
2026,Region,Nunavut,372
2026,Region,Ontario (minus the NCR),47374
2026,Region,Outside of Canada,1600
2026,Region,Prince Edward Island,3953
2026,Region,Quebec (minus the NCR),37894
2026,Region,Saskatchewan,6381
2026,Region,Unknown,9005
2026,Region,Yukon,465
2010,Sex,Men,126723
2010,Sex,Women,156146
2011,Sex,Men,126427
2011,Sex,Women,155839
2012,Sex,Men,124709
2012,Sex,Women,153299
2013,Sex,Men,118357
2013,Sex,Women,144402
2014,Sex,Men,115992
2014,Sex,Women,141069
2015,Sex,Men,115680
2015,Sex,Women,141338
2016,Sex,Men,116347
2016,Sex,Unknown,11
2016,Sex,Women,142614
2017,Sex,Men,117791
2017,Sex,Unknown,127
2017,Sex,Women,144733
2018,Sex,Men,122238
2018,Sex,Unknown,120
2018,Sex,Women,151189
2019,Sex,Men,128727
2019,Sex,Unknown,168
2019,Sex,Women,159075
2020,Sex,Men,133986
2020,Sex,Unknown,202
2020,Sex,Women,166243
2021,Sex,Men,140791
2021,Sex,Unknown,208
2021,Sex,Women,178595
2022,Sex,Men,146779
2022,Sex,Unknown,187
2022,Sex,Women,188982
2023,Sex,Men,154256
2023,Sex,Unknown,220
2023,Sex,Women,202739
2024,Sex,Men,158618
2024,Sex,Unknown,238
2024,Sex,Women,208899
2025,Sex,Men,155361
2025,Sex,Unknown,70
2025,Sex,Women,202510
2026,Sex,Men,151080
2026,Sex,Unknown,118
2026,Sex,Women,194063
2010,Tenure,Casual,7292
2010,Tenure,Indeterminate,243826
2010,Tenure,Student,6128
2010,Tenure,Term,25734
2011,Tenure,Casual,7706
2011,Tenure,Indeterminate,245157
2011,Tenure,Student,5891
2011,Tenure,Term,23598
2012,Tenure,Casual,6743
2012,Tenure,Indeterminate,243144
2012,Tenure,Student,5418
2012,Tenure,Term,22787
2013,Tenure,Casual,6692
2013,Tenure,Indeterminate,230283
2013,Tenure,Student,4605
2013,Tenure,Term,21237
2014,Tenure,Casual,8002
2014,Tenure,Indeterminate,222721
2014,Tenure,Student,5189
2014,Tenure,Term,21226
2015,Tenure,Casual,8663
2015,Tenure,Indeterminate,219668
2015,Tenure,Student,5500
2015,Tenure,Term,23203
2016,Tenure,Casual,9251
2016,Tenure,Indeterminate,218544
2016,Tenure,Student,5712
2016,Tenure,Term,25472
2017,Tenure,Casual,7505
2017,Tenure,Indeterminate,222474
2017,Tenure,Student,6281
2017,Tenure,Term,26389
2017,Tenure,Unknown,47
2018,Tenure,Casual,8397
2018,Tenure,Indeterminate,228720
2018,Tenure,Student,7426
2018,Tenure,Term,28969
2018,Tenure,Unknown,59
2019,Tenure,Casual,8984
2019,Tenure,Indeterminate,239645
2019,Tenure,Student,8156
2019,Tenure,Term,31145
2019,Tenure,Unknown,53
2020,Tenure,Casual,8573
2020,Tenure,Indeterminate,249973
2020,Tenure,Student,8852
2020,Tenure,Term,33010
2020,Tenure,Unknown,42
2021,Tenure,Casual,9336
2021,Tenure,Indeterminate,262667
2021,Tenure,Student,8064
2021,Tenure,Term,39505
2021,Tenure,Unknown,29
2022,Tenure,Casual,9648
2022,Tenure,Indeterminate,271476
2022,Tenure,Student,8926
2022,Tenure,Term,45877
2022,Tenure,Unknown,30
2023,Tenure,Casual,8643
2023,Tenure,Indeterminate,290981
2023,Tenure,Student,9203
2023,Tenure,Term,48361
2023,Tenure,Unknown,59
2024,Tenure,Casual,6990
2024,Tenure,Indeterminate,304131
2024,Tenure,Student,9120
2024,Tenure,Term,47460
