year,sector,employment
2024,Transportation and warehousing,198200.0
2024,Utilities,128200.0
2024,Wholesale and retail trade,23300.0
2025,Accommodation and food services,2800.0
2025,"Business, building and other support services",12900.0
2025,Construction,17200.0
2025,Educational services,1362200.0
2025,"Finance, insurance, real estate, rental and leasing",69500.0
2025,"Forestry, fishing, mining, quarrying, oil and gas",6900.0
2025,Health care and social assistance,1349500.0
2025,"Information, culture and recreation",132600.0
2025,Manufacturing,1500.0
2025,"Professional, scientific and technical services",12600.0
2025,Public administration,1244600.0
2025,Transportation and warehousing,185300.0
2025,Utilities,126600.0
2025,Wholesale and retail trade,24200.0
