province,year,expense,net_op_balance,revenue,net_fin_worth,gdp,revenue_pct_gdp,expense_pct_gdp,balance_pct_gdp,net_debt_pct_gdp
Nova Scotia,2024,17075.0,520.0,17595.0,-12172.0,65338.0,26.929198934769964,26.13333741467446,0.7958615200955035,18.62928158192782
Ontario,2008,105026.0,-9675.0,95352.0,-141141.0,609126.0,15.65390411835975,17.24208127710851,-1.5883413283951104,23.171068054885197
Ontario,2009,115780.0,-17658.0,98122.0,-168520.0,598521.0,16.394078069107014,19.344350490626063,-2.950272421519044,28.156071382624837
Ontario,2010,134879.0,-32218.0,102661.0,-198724.0,631636.0,16.253190128491728,21.353912696553078,-5.100722568061352,31.461791284853934
Ontario,2011,128815.0,-21770.0,107045.0,-232929.0,660436.0,16.208232137557612,19.504539425470448,-3.2963072879128337,35.26897382940966
Ontario,2012,128154.0,-14951.0,113203.0,-252750.0,680791.0,16.628157540273005,18.824279404398705,-2.1961218641257005,37.125931453265395
Ontario,2013,128920.0,-13473.0,115447.0,-264535.0,696192.0,16.582638122816697,18.51788012502298,-1.9352420022062877,37.99742025188454
Ontario,2014,132684.0,-15579.0,117105.0,-295985.0,727042.0,16.107047460806942,18.24983976166439,-2.142792300857447,40.71085301812
Ontario,2015,134874.0,-8352.0,126521.0,-279307.0,760435.0,16.637976947405104,17.736427176550265,-1.098318725466345,36.729898018897075
Ontario,2016,138411.0,-5504.0,132907.0,-275235.0,790749.0,16.807735450819415,17.50378438670172,-0.6960489358823091,34.806872977392324
Ontario,2017,149261.0,-8446.0,140816.0,-264326.0,824979.0,17.069040545274486,18.09270296577246,-1.0237836357046666,32.04033072356993
Ontario,2018,157789.0,-11790.0,145999.0,-277782.0,860103.0,16.974594903168576,18.345360962582387,-1.3707660594138142,32.29636450518136
Ontario,2019,159907.0,-13556.0,146352.0,-300204.0,893224.0,16.384691857809464,17.902228332422773,-1.5176484286136513,33.60903871817148
Ontario,2020,178361.0,-23146.0,155215.0,-322134.0,874354.0,17.7519631636614,20.399174704982194,-2.647211541320792,36.84251458791291
Ontario,2021,184320.0,-9471.0,174850.0,-298128.0,970146.0,18.02306044657196,18.999202181939626,-0.9762448126364485,30.730219987507034
Ontario,2022,188698.0,-6474.0,182224.0,-289111.0,1065260.0,17.106058614798265,17.71379757054616,-0.6077389557478926,27.13994705517902
Ontario,2023,210045.0,-16921.0,193124.0,-292385.0,1138592.0,16.96165088108822,18.44778463224755,-1.4861337511593267,25.679523481633453
Ontario,2024,222400.0,-16921.0,205479.0,-317514.0,1197020.0,17.165878598519658,18.579472356351605,-1.4135937578319495,26.525371338824748
