year,fiscal_year,agency,agency_full,component,ftes
2026,2026/27,Global Affairs Canada,Global Affairs Canada,"Total, science and technology",442.0
2026,2026/27,Health Canada,Health Canada,Related scientific activities,3034.0
2026,2026/27,Health Canada,Health Canada,Research and development,240.0
2026,2026/27,Health Canada,Health Canada,"Total, science and technology",3275.0
2026,2026/27,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,787.0
2026,2026/27,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,422.0
2026,2026/27,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",1210.0
2026,2026/27,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,65.0
2026,2026/27,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,478.0
2026,2026/27,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",543.0
2026,2026/27,National Defence,National Defence,Related scientific activities,708.0
2026,2026/27,National Defence,National Defence,Research and development,1368.0
2026,2026/27,National Defence,National Defence,"Total, science and technology",2075.0
2026,2026/27,National Research Council,National Research Council Canada,Related scientific activities,396.0
2026,2026/27,National Research Council,National Research Council Canada,Research and development,4108.0
2026,2026/27,National Research Council,National Research Council Canada,"Total, science and technology",4504.0
2026,2026/27,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1555.0
2026,2026/27,Natural Resources Canada,Natural Resources Canada,Research and development,1520.0
2026,2026/27,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",3075.0
2026,2026/27,Other departments & agencies,Other departments and agencies,Related scientific activities,5444.0
2026,2026/27,Other departments & agencies,Other departments and agencies,Research and development,1104.0
2026,2026/27,Other departments & agencies,Other departments and agencies,"Total, science and technology",6548.0
2026,2026/27,Public Health Agency,Public Health Agency of Canada,Related scientific activities,1316.0
2026,2026/27,Public Health Agency,Public Health Agency of Canada,Research and development,429.0
2026,2026/27,Public Health Agency,Public Health Agency of Canada,"Total, science and technology",1745.0
2026,2026/27,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,64.0
2026,2026/27,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,364.0
2026,2026/27,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",428.0
2026,2026/27,Statistics Canada,Statistics Canada,Related scientific activities,7320.0
2026,2026/27,Statistics Canada,Statistics Canada,Research and development,461.0
2026,2026/27,Statistics Canada,Statistics Canada,"Total, science and technology",7781.0
