year,fiscal_year,agency,agency_full,component,ftes
2004,2004/05,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1567.0
2004,2004/05,Natural Resources Canada,Natural Resources Canada,Research and development,1656.0
2004,2004/05,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",3223.0
2004,2004/05,Other departments & agencies,Other departments and agencies,Related scientific activities,4634.0
2004,2004/05,Other departments & agencies,Other departments and agencies,Research and development,2286.0
2004,2004/05,Other departments & agencies,Other departments and agencies,"Total, science and technology",6920.0
2004,2004/05,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,76.0
2004,2004/05,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,101.0
2004,2004/05,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",177.0
2004,2004/05,Statistics Canada,Statistics Canada,Related scientific activities,5255.0
2004,2004/05,Statistics Canada,Statistics Canada,Research and development,181.0
2004,2004/05,Statistics Canada,Statistics Canada,"Total, science and technology",5436.0
2005,2005/06,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,157.0
2005,2005/06,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,2081.0
2005,2005/06,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2238.0
2005,2005/06,All federal agencies,Total departments and agencies,Related scientific activities,19856.0
2005,2005/06,All federal agencies,Total departments and agencies,Research and development,15245.0
2005,2005/06,All federal agencies,Total departments and agencies,"Total, science and technology",35102.0
2005,2005/06,CFI,Canada Foundation for Innovation,Research and development,49.0
2005,2005/06,CFI,Canada Foundation for Innovation,"Total, science and technology",49.0
2005,2005/06,CIHR,Canadian Institutes of Health Research,Related scientific activities,6.0
2005,2005/06,CIHR,Canadian Institutes of Health Research,Research and development,318.0
2005,2005/06,CIHR,Canadian Institutes of Health Research,"Total, science and technology",324.0
2005,2005/06,Canadian Space Agency,Canadian Space Agency,Related scientific activities,72.0
2005,2005/06,Canadian Space Agency,Canadian Space Agency,Research and development,524.0
2005,2005/06,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",596.0
2005,2005/06,Cdn Int'l Development Agency,Canadian International Development Agency,Related scientific activities,190.0
2005,2005/06,Cdn Int'l Development Agency,Canadian International Development Agency,Research and development,66.0
2005,2005/06,Cdn Int'l Development Agency,Canadian International Development Agency,"Total, science and technology",256.0
2005,2005/06,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,2499.0
2005,2005/06,Environment & Climate Change,Environment and Climate Change Canada,Research and development,970.0
2005,2005/06,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3469.0
2005,2005/06,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,1294.0
2005,2005/06,Fisheries & Oceans,Fisheries and Oceans Canada,Research and development,496.0
2005,2005/06,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",1790.0
2005,2005/06,Health Canada,Health Canada,Related scientific activities,2149.0
2005,2005/06,Health Canada,Health Canada,Research and development,417.0
2005,2005/06,Health Canada,Health Canada,"Total, science and technology",2567.0
2005,2005/06,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,622.0
2005,2005/06,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,361.0
2005,2005/06,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",983.0
2005,2005/06,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,37.0
2005,2005/06,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,263.0
2005,2005/06,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",300.0
2005,2005/06,National Defence,National Defence,Related scientific activities,281.0
2005,2005/06,National Defence,National Defence,Research and development,1538.0
2005,2005/06,National Defence,National Defence,"Total, science and technology",1819.0
2005,2005/06,National Research Council,National Research Council Canada,Related scientific activities,501.0
2005,2005/06,National Research Council,National Research Council Canada,Research and development,3654.0
2005,2005/06,National Research Council,National Research Council Canada,"Total, science and technology",4155.0
2005,2005/06,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1588.0
2005,2005/06,Natural Resources Canada,Natural Resources Canada,Research and development,1685.0
2005,2005/06,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",3273.0
2005,2005/06,Other departments & agencies,Other departments and agencies,Related scientific activities,4846.0
2005,2005/06,Other departments & agencies,Other departments and agencies,Research and development,2516.0
2005,2005/06,Other departments & agencies,Other departments and agencies,"Total, science and technology",7363.0
2005,2005/06,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,59.0
2005,2005/06,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,125.0
2005,2005/06,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",184.0
2005,2005/06,Statistics Canada,Statistics Canada,Related scientific activities,5555.0
2005,2005/06,Statistics Canada,Statistics Canada,Research and development,182.0
2005,2005/06,Statistics Canada,Statistics Canada,"Total, science and technology",5737.0
2006,2006/07,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,260.0
2006,2006/07,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,2040.0
2006,2006/07,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2300.0
2006,2006/07,All federal agencies,Total departments and agencies,Related scientific activities,20884.0
2006,2006/07,All federal agencies,Total departments and agencies,Research and development,15143.0
2006,2006/07,All federal agencies,Total departments and agencies,"Total, science and technology",36027.0
2006,2006/07,Atomic Energy of Canada,Atomic Energy of Canada Limited,Research and development,1362.0
2006,2006/07,Atomic Energy of Canada,Atomic Energy of Canada Limited,"Total, science and technology",1362.0
2006,2006/07,CFI,Canada Foundation for Innovation,Research and development,52.0
2006,2006/07,CFI,Canada Foundation for Innovation,"Total, science and technology",52.0
2006,2006/07,CIHR,Canadian Institutes of Health Research,Related scientific activities,6.0
2006,2006/07,CIHR,Canadian Institutes of Health Research,Research and development,341.0
2006,2006/07,CIHR,Canadian Institutes of Health Research,"Total, science and technology",347.0
2006,2006/07,Canadian Space Agency,Canadian Space Agency,Related scientific activities,70.0
2006,2006/07,Canadian Space Agency,Canadian Space Agency,Research and development,539.0
2006,2006/07,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",609.0
2006,2006/07,Cdn Int'l Development Agency,Canadian International Development Agency,Related scientific activities,192.0
2006,2006/07,Cdn Int'l Development Agency,Canadian International Development Agency,Research and development,66.0
2006,2006/07,Cdn Int'l Development Agency,Canadian International Development Agency,"Total, science and technology",258.0
2006,2006/07,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,2576.0
2006,2006/07,Environment & Climate Change,Environment and Climate Change Canada,Research and development,1001.0
2006,2006/07,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3577.0
2006,2006/07,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,1306.0
2006,2006/07,Fisheries & Oceans,Fisheries and Oceans Canada,Research and development,490.0
2006,2006/07,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",1796.0
2006,2006/07,Health Canada,Health Canada,Related scientific activities,2346.0
2006,2006/07,Health Canada,Health Canada,Research and development,342.0
2006,2006/07,Health Canada,Health Canada,"Total, science and technology",2688.0
2006,2006/07,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,605.0
2006,2006/07,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,355.0
2006,2006/07,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",960.0
2006,2006/07,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,37.0
2006,2006/07,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,271.0
