year,fiscal_year,agency,agency_full,nominal
2011,2011/12,CIHR,Canadian Institutes of Health Research,975.0
2011,2011/12,NSERC,Natural Sciences and Engineering Research Council of Canada,959.0
2011,2011/12,National Research Council,National Research Council Canada,740.0
2011,2011/12,Other departments & agencies,Other departments and agencies,696.0
2011,2011/12,SSHRC,Social Sciences and Humanities Research Council of Canada,566.0
2011,2011/12,Atomic Energy of Canada,Atomic Energy of Canada Limited,462.0
2011,2011/12,CFI,Canada Foundation for Innovation,441.0
2011,2011/12,Natural Resources Canada,Natural Resources Canada,404.0
2011,2011/12,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",383.0
2011,2011/12,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,328.0
2011,2011/12,Canadian Space Agency,Canadian Space Agency,275.0
2011,2011/12,National Defence,National Defence,268.0
2011,2011/12,Environment & Climate Change,Environment and Climate Change Canada,223.0
2011,2011/12,Statistics Canada,Statistics Canada,69.0
2011,2011/12,Health Canada,Health Canada,65.0
2011,2011/12,Cdn Int'l Development Agency,Canadian International Development Agency,36.0
2011,2011/12,Fisheries & Oceans,Fisheries and Oceans Canada,11.0
2012,2012/13,CIHR,Canadian Institutes of Health Research,968.0
2012,2012/13,NSERC,Natural Sciences and Engineering Research Council of Canada,956.0
2012,2012/13,National Research Council,National Research Council Canada,711.0
2012,2012/13,SSHRC,Social Sciences and Humanities Research Council of Canada,573.0
2012,2012/13,CFI,Canada Foundation for Innovation,563.0
2012,2012/13,Other departments & agencies,Other departments and agencies,547.0
2012,2012/13,Atomic Energy of Canada,Atomic Energy of Canada Limited,491.0
2012,2012/13,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",413.0
2012,2012/13,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,396.0
2012,2012/13,National Defence,National Defence,309.0
2012,2012/13,Natural Resources Canada,Natural Resources Canada,280.0
2012,2012/13,Int'l Development Research Centre,International Development Research Centre,217.0
2012,2012/13,Canadian Space Agency,Canadian Space Agency,200.0
2012,2012/13,Environment & Climate Change,Environment and Climate Change Canada,112.0
2012,2012/13,Statistics Canada,Statistics Canada,65.0
2012,2012/13,Health Canada,Health Canada,56.0
2012,2012/13,Cdn Int'l Development Agency,Canadian International Development Agency,45.0
2012,2012/13,Fisheries & Oceans,Fisheries and Oceans Canada,10.0
2013,2013/14,CIHR,Canadian Institutes of Health Research,969.0
2013,2013/14,NSERC,Natural Sciences and Engineering Research Council of Canada,951.0
2013,2013/14,National Research Council,National Research Council Canada,895.0
2013,2013/14,Other departments & agencies,Other departments and agencies,705.0
2013,2013/14,SSHRC,Social Sciences and Humanities Research Council of Canada,571.0
2013,2013/14,Atomic Energy of Canada,Atomic Energy of Canada Limited,490.0
2013,2013/14,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,454.0
2013,2013/14,CFI,Canada Foundation for Innovation,420.0
2013,2013/14,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",387.0
2013,2013/14,Natural Resources Canada,Natural Resources Canada,291.0
2013,2013/14,Canadian Space Agency,Canadian Space Agency,283.0
2013,2013/14,National Defence,National Defence,280.0
2013,2013/14,Environment & Climate Change,Environment and Climate Change Canada,116.0
2013,2013/14,Statistics Canada,Statistics Canada,74.0
2013,2013/14,Health Canada,Health Canada,49.0
2013,2013/14,Global Affairs Canada,Global Affairs Canada,32.0
2013,2013/14,Fisheries & Oceans,Fisheries and Oceans Canada,11.0
2014,2014/15,CIHR,Canadian Institutes of Health Research,991.0
2014,2014/15,NSERC,Natural Sciences and Engineering Research Council of Canada,972.0
2014,2014/15,National Research Council,National Research Council Canada,952.0
2014,2014/15,SSHRC,Social Sciences and Humanities Research Council of Canada,588.0
2014,2014/15,Other departments & agencies,Other departments and agencies,563.0
2014,2014/15,Atomic Energy of Canada,Atomic Energy of Canada Limited,495.0
2014,2014/15,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,414.0
2014,2014/15,CFI,Canada Foundation for Innovation,404.0
2014,2014/15,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",295.0
