country_code,year,hours_per_capita,country_name
JPN,2015,886.1110586569102,Japan
JPN,2016,891.2147006501788,Japan
JPN,2017,897.5283054546601,Japan
JPN,2018,899.6785773457779,Japan
JPN,2019,889.4656394453004,Japan
JPN,2020,862.5905259381985,Japan
JPN,2021,874.5720922614778,Japan
JPN,2022,881.032529712598,Japan
JPN,2023,891.9640331076299,Japan
JPN,2024,905.1439007770472,Japan
JPN,2025,898.2516899828761,Japan
KOR,2011,1046.217754370507,South Korea
KOR,2012,1050.4843625498008,South Korea
KOR,2013,1053.1495369727734,South Korea
KOR,2014,1056.0133998068852,South Korea
KOR,2015,1065.425306282466,South Korea
KOR,2016,1063.384083720567,South Korea
KOR,2017,1047.1355087418715,South Korea
KOR,2018,1032.9204032179898,South Korea
KOR,2019,1027.2799961363858,South Korea
KOR,2020,987.0744849139594,South Korea
KOR,2021,1003.4443113772456,South Korea
KOR,2022,1029.9982776304842,South Korea
KOR,2023,1025.8458414711968,South Korea
KOR,2024,1026.9817394832949,South Korea
KOR,2025,1011.33242091416,South Korea
NLD,2000,759.9750722089665,Netherlands
NLD,2001,764.0671195313473,Netherlands
NLD,2002,755.322992135736,Netherlands
NLD,2003,742.9890292758089,Netherlands
NLD,2004,742.7056872620071,Netherlands
NLD,2005,738.6013480392157,Netherlands
NLD,2006,751.4478771564909,Netherlands
NLD,2007,771.2471615187401,Netherlands
NLD,2008,780.4090964368236,Netherlands
NLD,2009,765.0641863278887,Netherlands
NLD,2010,755.6575383689436,Netherlands
NLD,2011,758.5157251542563,Netherlands
NLD,2012,748.9988063264698,Netherlands
NLD,2013,740.2554748869318,Netherlands
NLD,2014,742.5906314853246,Netherlands
NLD,2015,745.1905548996458,Netherlands
NLD,2016,759.117028772754,Netherlands
NLD,2017,772.1800828906661,Netherlands
NLD,2018,788.2517989786444,Netherlands
NLD,2019,803.8940905159988,Netherlands
NLD,2020,765.6209723655544,Netherlands
NLD,2021,797.0437460788228,Netherlands
NLD,2022,819.7949268402915,Netherlands
NLD,2023,821.7386586116239,Netherlands
NLD,2024,830.3353895743026,Netherlands
NLD,2025,821.3180385869866,Netherlands
NOR,2000,745.9363170786016,Norway
NOR,2001,729.7297297297297,Norway
NOR,2002,719.4799471132658,Norway
NOR,2003,698.7951807228916,Norway
NOR,2004,707.5348432055749,Norway
NOR,2005,713.1732641142115,Norway
NOR,2006,729.2426517914611,Norway
NOR,2007,755.9991505627521,Norway
NOR,2008,773.2802013422819,Norway
NOR,2009,749.0163594947195,Norway
NOR,2010,742.2785845776232,Norway
NOR,2011,745.2049263072885,Norway
NOR,2012,748.1570033871288,Norway
NOR,2013,741.9291338582677,Norway
NOR,2014,741.4833560443839,Norway
NOR,2015,737.57225433526,Norway
NOR,2016,734.5301757066462,Norway
NOR,2017,731.2867159370855,Norway
NOR,2018,737.5753012048193,Norway
NOR,2019,743.2685115931189,Norway
NOR,2020,723.3686558839934,Norway
NOR,2021,736.1316568047337,Norway
