year,geo,partner,exports_millions,share_pct
2003,Nova Scotia,Japan,159.546,2.981
2003,Nova Scotia,Mexico,38.547,0.72
2003,Nova Scotia,Other countries,325.468,6.082
2003,Nova Scotia,United Kingdom,82.713,1.546
2003,Nova Scotia,United States,4347.879,81.248
2003,Nunavut,All countries,2.103,100.0
2003,Nunavut,China,0.255,12.131
2003,Nunavut,European Union (27 members),0.356,16.954
2003,Nunavut,Japan,0.05,2.373
2003,Nunavut,Mexico,0.136,6.444
2003,Nunavut,Other countries,0.517,24.562
2003,Nunavut,United Kingdom,0.34,16.188
2003,Nunavut,United States,0.449,21.348
2003,Ontario,All countries,167678.642,100.0
2003,Ontario,China,653.151,0.39
2003,Ontario,European Union (27 members),3752.296,2.238
2003,Ontario,Japan,1047.629,0.625
2003,Ontario,Mexico,853.676,0.509
2003,Ontario,Other countries,5352.088,3.192
2003,Ontario,United Kingdom,2597.96,1.549
2003,Ontario,United States,153421.843,91.498
2003,Prince Edward Island,All countries,637.748,100.0
2003,Prince Edward Island,China,1.924,0.302
2003,Prince Edward Island,European Union (27 members),25.505,3.999
2003,Prince Edward Island,Japan,5.056,0.793
2003,Prince Edward Island,Mexico,0.448,0.07
2003,Prince Edward Island,Other countries,32.052,5.026
2003,Prince Edward Island,United Kingdom,3.468,0.544
2003,Prince Edward Island,United States,569.294,89.266
2003,Quebec,All countries,61000.039,100.0
2003,Quebec,China,517.347,0.848
2003,Quebec,European Union (27 members),4142.455,6.791
2003,Quebec,Japan,834.357,1.368
2003,Quebec,Mexico,307.067,0.503
2003,Quebec,Other countries,3044.987,4.992
2003,Quebec,United Kingdom,1173.959,1.925
2003,Quebec,United States,50979.868,83.573
2003,Saskatchewan,All countries,10281.391,100.0
2003,Saskatchewan,China,422.585,4.11
2003,Saskatchewan,European Union (27 members),751.347,7.308
2003,Saskatchewan,Japan,512.836,4.988
2003,Saskatchewan,Mexico,228.216,2.22
2003,Saskatchewan,Other countries,1797.961,17.488
2003,Saskatchewan,United Kingdom,77.677,0.756
2003,Saskatchewan,United States,6490.769,63.131
2003,Yukon,All countries,3.73,100.0
2003,Yukon,China,0.164,4.394
2003,Yukon,European Union (27 members),0.101,2.71
2003,Yukon,Japan,0.0,0.0
2003,Yukon,Mexico,0.0,0.0
2003,Yukon,Other countries,0.349,9.359
2003,Yukon,United Kingdom,0.035,0.93
2003,Yukon,United States,3.081,82.606
2004,Alberta,All countries,63687.582,100.0
2004,Alberta,China,1910.236,2.999
2004,Alberta,European Union (27 members),932.596,1.464
2004,Alberta,Japan,1303.755,2.047
2004,Alberta,Mexico,698.277,1.096
2004,Alberta,Other countries,2868.279,4.504
2004,Alberta,United Kingdom,215.18,0.338
2004,Alberta,United States,55759.26,87.551
2004,British Columbia,All countries,31007.834,100.0
2004,British Columbia,China,1225.418,3.952
2004,British Columbia,European Union (27 members),1845.682,5.952
2004,British Columbia,Japan,3805.094,12.271
2004,British Columbia,Mexico,198.373,0.64
2004,British Columbia,Other countries,3454.593,11.141
2004,British Columbia,United Kingdom,341.317,1.101
